name,currency,price,Boat REF,Length,Year,Construction,Underwater profile,Sleeping berths,Engine,Lying
Dickie &amp; Sons Custom,EUR,6950000.00,226126,35.00,1930,Wood,Other,8,2 x diesel 230hp/ Gardner 8L3B (1990),Alpes Maritimes
Punat Shipyard Punat 28m,EUR,2600000.00,272150,28.35,1967,Wood,Full-Displacement,16,2 x diesel 400hp/ MAN D2866 (2008),Barcelona
Pilot Cutter 19.6m,GBP,775000.00,311145,19.75,2016,Steel,Semi-Displacement,,2 x diesel 670hp/ Caterpillar C18 500bKW @2100rpm B Rated (2016),Pembrokeshire
Dutch Barge 20m With London Mooring,GBP,220000.00,311206,19.80,1930,Steel,Full-Displacement,4,1 x diesel 185hp/ DAF (unknown year),Chelsea Harbour
Astondoa 58 GLX,EUR,250000.00,261145,17.72,1992,GRP,Full-Displacement,10,2 x diesel 925hp/ Detroit Diesel (1992),Gibraltar
Lagoon 380,USD,269000.00,317621,11.55,2016,GRP,Multihull,8,2 x diesel 29hp/ Yanmar 3YM30AE (2015),St.Lucia
Carver 530 Voyager Pilot House,EUR,245000.00,304176,16.40,1999,GRP,Planing,6,2 x diesel 610hp/ Volvo penta  TAMD122P (1999),French Riviera 
Elan 514 Impression,EUR,244950.00,307060,15.00,2007,Composite,Semi-Displacement,10,1 x diesel 81hp/ Volvo Dc 75 (2012),Marina Levante/  Valencia
Versil Craft 26 Aft Cabin/ Flybridge/ 2 Separate Crew Cabins,EUR,240000.00,262405,25.40,1984,Wood,Planing,14,3 x diesel 650hp/ GM (1984),Athens
Formula 45 Yacht,EUR,239950.00,310111,14.70,2008,GRP,Planing,6,2 x diesel 435hp/ Volvo IPS 600 (2008),French Riviera Cote d Azur France
Aluminium Custom 21 M Yacht Ketch Rig,USD,250000.00,215324,21.30,1981,Aluminium,Fin,10,1 x diesel 138hp/ Volvo (1981),Phuket Thailand
Beneteau Oceanis 45,USD,249995.00,317420,13.85,2018,GRP,Fin,4,1 x diesel 80hp/ Yanmar 4JH80 (2018),St.Lucia
Monk-McQueen 74' Motoryacht,USD,249500.00,315220,22.56,1976,Wood,Full-Displacement,5,2 x diesel 235hp/ Detroit 8V71 N (1976),Waterline Boats Sales Dock on Lake Union/ Seattle WA
Pilot Cutter 19.6m,GBP,775000.00,311150,19.75,2016,Steel,Semi-Displacement,,2 x diesel 670hp/ Caterpillar C18 500bKW @2100rpm B Rated (2016),Pembrokeshire
Houseboat Thames Lighter Barge 26m,GBP,200000.00,312743,26.00,1910,Iron,Full-Displacement,4,,Suffolk
Thames Sailing Barge 58ft,GBP,199995.00,307765,19.14,1905,Steel,Full-Displacement,9,1 x diesel 128hp/ Ford 6 cylinder  (unknown year),Chelmsford
Freedom 45 Aft Cabin,GBP,199950.00,317120,13.70,1990,GRP,Wing Keel,7,1 x diesel 62hp/ Yanmar  (1990),Essex
Houseboat 85ft,GBP,199000.00,314676,25.91,unknown year,Steel,Other,6,,River Orwell
Humber Keel 23,GBP,198000.00,315564,23.00,1912,Steel,Full-Displacement,8,,Beccles
Riviera 43,USD,240000.00,312170,13.11,2002,GRP,Semi-Displacement,6,2 x diesel 675hp/ Volvo Penta D12-675 (2002),Cartagena
Invicta Power Catamaran 30,USD,240000.00,310477,9.00,New,GRP,Multihull,,4 x gasoline 140hp/ Suzuki Quads or Twins,Gordons Bay Cape Town
Float8 Houseboat With London Mooring,GBP,195000.00,303172,12.00,2023,Aluminium,Full-Displacement,6,1 x gasoline 40hp/ Yamaha (2021),Greenland Dock/ London SE16
WE Thomas Gentleman's Classic Cutter,GBP,195000.00,315721,18.90,1909,Wood,Long Keel,5,1 x diesel 75hp/ Beta (2013),Vilamoura 
SEALOFT PANORAMA,EUR,216000.00,275340,12.00,2020,GRP,Full-Displacement,5,,Lorient
Azimut 58,USD,950000.00,307036,17.88,2011,GRP,Planing,7,2 x diesel 700hp/ Caterpillar C 12 (unknown year),Phuket / Thailand
Pedro Levanto 44,GBP,190000.00,317745,13.40,2009,Steel,Full-Displacement,4,1 x diesel 155hp/ Perkins M255Ti (2009),St Katharine's Dock/ London
Dutch Barge 26.5m,GBP,190000.00,314431,26.50,1920,Steel,Full-Displacement,4,1 x diesel 150hp/ Daimler Benz (unknown year),Port Medway Marina/ Rochester
Lagoon 380 S2 Owners Version,GBP,189950.00,316251,11.55,2006,GRP,Multihull,8,2 x diesel 29hp/ Yanmar 3YM30 (2006), Essex 
Beneteau Oceanis 54,EUR,205000.00,320325,16.69,2012,GRP,Fin,12,1 x diesel 75hp/ Yanmar 4JH4-TE (2012),Athens
Cruisers Yachts 415,EUR,204950.00,320735,13.00,2006,GRP,Semi-Displacement,5,2 x diesel 370hp/ Yanmar (2006),Valencia
Ranger Tugs R-27 Northwest Edition,USD,219000.00,316177,8.23,2021,GRP,Planing,5,1 x gasoline 300hp/ Yamaha (2021),Seattle/ WA USA - At Our Docks! 
Luxemotor Dutch  Barge Practical Cruising Home,EUR,200000.00,241406,30.88,1909,Steel,Full-Displacement,3,1 x diesel 150hp/ DK6 (unknown year),Rhone Saone bassin
Dutch Steel Motor Cruiser RINJLANDVLET 14.50 DV,EUR,199000.00,317233,14.50,1997,Steel,Full-Displacement,5,2 x diesel 105hp/ DAF 575 (1996),midi canals
Float8 Houseboat One 12m,GBP,175000.00,302031,12.20,New,Aluminium,Full-Displacement,6,1 x gasoline 40hp/ Yamaha,Central London
Dyna Craft 51,GBP,174950.00,320416,17.92,1989,GRP,Full-Displacement,8,2 x diesel 550hp/ Detroit 92 (1989),Brighton
Cobrey 50 FLY,EUR,850000.00,307446,15.60,2019,GRP,Planing,6,2 x diesel 435hp/ Volvo IPS 600 (2019),French Riviera Cote d Azur France
Bavaria 51 Cruiser,EUR,198000.00,231324,15.59,2015,GRP,Fin and Bulb,10,1 x diesel 75hp/ Volvo Penta D2-75 (2015),Middle Dalmatia/ Croatia
Dehler 30 OD,EUR,197750.00,316031,10.30,2020,GRP,Fin,6,1 x diesel 10hp/ Nanni n2.10 (2020),Med.
Pinisi Classic,THB,7300000.00,216504,20.00,1999,Wood,Long Keel,5,1 x diesel 63hp/ Yanmar 3L15 (1995),Koh Samui
Jeanneau Sun Odyssey 449,EUR,195000.00,242707,13.34,2017,GRP,Fin,8,1 x diesel 57hp/ Yanmar diesel 4JH57CR (2017),Middle Dalmatia/ Croatia
Alalunga 22.8,USD,210000.00,270124,22.80,1982,Wood,Planing,8,2 x diesel 675hp/ GM Detroit 12v71t's (1981),Phuket / Thailand
Humber Barge 60ft,GBP,169950.00,321210,18.79,1920,Steel,Full-Displacement,4,1 x diesel 0hp/ Lister (unknown year),Medway/  Kent
Riviera 48 Platinum,EUR,190000.00,247601,16.20,1997,GRP,Planing,6,2 x diesel 660hp/ Caterpillar 3176 (1997),Costa Brava/ Girona
